Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-04-17,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC,AU-WA"
2022-04-18,Easter Monday,Easter Monday,AU,False,True,,Public,
2022-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2022-05-02,May Day,May Day,AU,False,False,,Public,AU-NT
2022-05-02,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2022-05-30,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2022-06-06,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2022-06-13,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2022-08-01,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2022-09-22,National Day of Mourning,National Day of Mourning,AU,True,True,,Public,
2022-10-03,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2022-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2022-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2023-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2023-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2023-03-06,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2023-03-13,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2023-03-13,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2023-03-13,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2023-03-13,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2023-04-07,Good Friday,Good Friday,AU,False,True,,Public,
2023-04-08,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2023-04-09,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC,AU-WA"
2023-04-10,Easter Monday,Easter Monday,AU,False,True,,Public,
2023-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2023-05-01,May Day,May Day,AU,False,False,,Public,AU-NT
2023-05-01,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2023-05-29,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2023-06-05,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2023-06-12,King's Birthday,King's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2023-08-07,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2023-10-02,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2023-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2023-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2024-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2024-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2024-03-04,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2024-03-11,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2024-03-11,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2024-03-11,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2024-03-11,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2024-03-29,Good Friday,Good Friday,AU,False,True,,Public,
2024-03-30,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2024-03-31,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC,AU-WA"
2024-04-01,Easter Monday,Easter Monday,AU,False,True,,Public,
2024-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2024-05-06,May Day,May Day,AU,False,False,,Public,AU-NT
2024-05-06,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2024-05-27,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2024-06-03,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2024-06-10,King's Birthday,King's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2024-08-05,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2024-10-07,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2024-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2024-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2025-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2025-01-27,Australia Day,Australia Day,AU,False,True,,Public,
2025-03-03,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2025-03-10,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2025-03-10,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2025-03-10,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2025-03-10,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2025-04-18,Good Friday,Good Friday,AU,False,True,,Public,
2025-04-19,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2025-04-20,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC,AU-WA"
2025-04-21,Easter Monday,Easter Monday,AU,False,True,,Public,
2025-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2025-05-05,May Day,May Day,AU,False,False,,Public,AU-NT
2025-05-05,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2025-06-02,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2025-06-02,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2025-06-09,King's Birthday,King's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2025-08-04,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2025-10-06,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2025-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2025-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2026-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2026-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2026-03-02,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2026-03-09,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2026-03-09,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2026-03-09,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2026-03-09,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2026-04-03,Good Friday,Good Friday,AU,False,True,,Public,
2026-04-04,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2026-04-05,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC,AU-WA"
2026-04-06,Easter Monday,Easter Monday,AU,False,True,,Public,
2026-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2026-05-04,May Day,May Day,AU,False,False,,Public,AU-NT
2026-05-04,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2026-06-01,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2026-06-01,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2026-06-08,King's Birthday,King's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2026-08-03,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2026-10-05,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2026-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2026-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
